name,encoded_name
Royal Enfield Classic 350,122111.11111111112
Honda Dio,35944.444444444445
Royal Enfield Classic Gunmetal Grey,133000.0
Yamaha Fazer FI V 2.0 [2016-2018],65000.0
Yamaha SZ [2013-2014],20000.0
Honda CB Twister,33000.0
Honda CB Hornet 160R,68740.27272727272
Royal Enfield Bullet 350 [2007-2011],96200.0
Hero Honda CBZ extreme,32272.727272727272
Bajaj Discover 125,27187.5
Yamaha FZ16,35416.666666666664
Honda Navi,28000.0
Bajaj Avenger Street 220,70714.28571428571
Yamaha YZF R3,133000.0
Jawa 42,133000.0
Suzuki Access 125 [2007-2016],23250.0
Hero Honda Glamour,27142.85714285714
Yamaha YZF R15 S,70833.33333333333
Yamaha FZ25,119428.57142857143
Hero Passion Pro 110,36800.0
Honda Navi [2016-2017],30333.33333333333
Honda Activa i,31000.0
Jawa Standard,133000.0
Royal Enfield Thunderbird 350,101100.0
Honda Dream Yuga,37000.0
TVS Apache RTR 160 4V,86252.25
Yamaha Fazer [2009-2016],39285.71428571428
Hero Honda Splendor NXG,24500.0
Hero Glamour 125,40181.81818181818
Yamaha FZ S [2012-2016],44285.71428571428
Hero Xtreme Sports,47600.0
Honda X-Blade,65000.0
Honda CB Shine SP,48888.88888888889
Honda Activa 5G,55666.66666666666
Honda CBR-250R,107600.0
Hero Honda Passion PRO [2012],24783.33333333333
Bajaj Dominar 400,131000.0
Hero Glamour FI,51966.66666666666
KTM 390 Duke,128500.0
Hero Passion XPro,32666.666666666668
Yamaha FZ S V 2.0,65562.5
Hero Achiever 150,44300.0
Yamaha Saluto,57333.333333333336
Bajaj Discover 100,24545.36363636364
Honda CB Trigger,40333.333333333336
Royal Enfield Electra 5 S,87166.66666666667
Hero Splendor PRO,32833.333333333336
Hero Honda Passion Plus,21400.0
Bajaj Pulsar 150,38914.634146341465
Royal Enfield Bullet 350,107000.0
Bajaj Pulsar 150 [2001-2011],29136.36363636364
Honda Activa 3G,40466.6
Hero Hunk,31000.0
Suzuki Let''s,34000.0
Royal Enfield Electra 4 S,85000.0
TVS Scooty Pep Plus,27666.666666666668
Mahindra Mojo XT300,124000.0
TVS Apache RTR 160,55021.28571428572
Bajaj Pulsar AS200,58750.0
Royal Enfield Thunderbird 350X,133000.0
Suzuki Intruder 150,85000.0
Hero Honda Karizma ZMR [2010],47500.0
Bajaj Xcd,20000.0
Hero Splendor Plus,29900.0
Honda CB Unicorn 150,50142.857142857145
Hero Honda CD Deluxe,20766.666666666668
Honda Activa i [2016-2017],35000.0
TVS Scooty Zest 110,37666.66666666666
Hero CD Deluxe,25000.0
Honda Activa [2000-2015],24829.95652173913
Honda Activa 125 [2016-2017],46750.0
Suzuki GS150R,28500.0
Bajaj Pulsar 220S,55000.0
Honda Activa 4G,46000.0
Bajaj Pulsar NS160,78333.33333333333
Royal Enfield Classic Desert Storm,124000.0
Suzuki Gixxer SF,70000.0
TVS Apache RTR 200 4V,97142.85714285714
Bajaj V15,50000.0
TVS XL 100 Heavy Duty,40000.0
Hero HF Deluxe,39125.0
Aprilia SR 125,70000.0
Bajaj Discover 125 ST,21250.0
Honda Aviator,31857.14285714286
Vespa SXL 149,89000.0
Hero Xtreme [2013-2014],38333.333333333336
UM Renegade Commando,133000.0
Honda Shine,33399.933333333334
Bajaj Avenger Street 150 [2018],59500.0
Royal Enfield Continental GT 650,133000.0
Bajaj Pulsar 180,40700.0
Harley-Davidson Street Bob,133000.0
KTM 390 Duke ABS [2013-2016],131500.0
KTM 200 Duke,113750.0
Hero Karizma 2014,35000.0
Royal Enfield Classic 500,95000.0
KTM RC 390,133000.0
Suzuki Gixxer [2014-2018],58200.0
Suzuki Access 125,46111.11111111111
Yamaha Saluto RX,40000.0
KTM RC 200,129800.0
Bajaj CT 100,29500.0
Hero Honda Pleasure,24000.0
